name,type,tier,tier_name,count,k_median,par_median,female
Academy Of Art University,3.0,10,Four-year for-profit,495.66666666666674,27400,92300,0.41425690000000004
Allan Hancock College,1.0,9,Two-year (public and private not-for-profit),1220.0,30800,65700,0.5262295
"American Career College of Los Angeles, CA",3.0,11,Two-year for-profit,489.5,25700,30400,0.82431054
Antelope Valley College,1.0,9,Two-year (public and private not-for-profit),1904.666666666667,25700,66600,0.53972697
Argosy University,3.0,10,Four-year for-profit,119.0,29700,84000,0.92997199
Art Center College Of Design,2.0,8,Nonselective four-year private not-for-profit,109.5,42800,84800,0.38812786
Azusa Pacific University,2.0,6,Selective private,647.0,42100,103700,0.6244204000000001
Barstow Community College,1.0,9,Two-year (public and private not-for-profit),478.0,28700,58000,0.45327756
Biola University,2.0,6,Selective private,535.0,35700,95300,0.63925236
Brooks Institute,3.0,10,Four-year for-profit,250.16666666666669,30500,95300,0.47634912
Butte College,1.0,9,Two-year (public and private not-for-profit),1751.0,27300,64100,0.47420523
Cabrillo College,1.0,9,Two-year (public and private not-for-profit),1641.0,26500,70200,0.49319521
California Baptist University,2.0,6,Selective private,197.33333333333331,36200,82600,0.64864862
California College Of The Arts,2.0,8,Nonselective four-year private not-for-profit,123.6666666666667,29700,90100,0.58221024
California Culinary Academy,3.0,11,Two-year for-profit,154.0,27900,66000,0.38528138
California Institute Of Technology,2.0,2,Other elite schools (public and private),190.66666666666669,83000,124500,0.33216783
California Institute Of The Arts,2.0,8,Nonselective four-year private not-for-profit,122.6666666666667,25300,108700,0.45923913
California Lutheran University,2.0,6,Selective private,300.0,50900,110600,0.57888889
California Maritime Academy,1.0,5,Selective public,92.0,85800,113100,0.15217391
California Polytechnic State University,1.0,5,Selective public,2887.666666666667,65500,124800,0.46565855
"California State Polytechnic University, Pomona",1.0,5,Selective public,2195.333333333334,55100,80200,0.42013362
California State University - Sacramento,1.0,5,Selective public,2041.333333333333,47900,88700,0.58687133
"California State University, Bakersfield",1.0,5,Selective public,542.6666666666666,46100,67700,0.64312041
"California State University, Chico",1.0,5,Selective public,1895.333333333333,48700,112200,0.56964475
"California State University, Dominguez Hills",1.0,5,Selective public,451.33333333333326,40300,45600,0.6971935
"California State University, East Bay",1.0,5,Selective public,696.6666666666665,51300,86000,0.65980864
"California State University, Fresno",1.0,5,Selective public,1656.333333333333,44400,72400,0.6037431999999999
"California State University, Fullerton",1.0,5,Selective public,2374.0,47800,83300,0.61668068
"California State University, Long Beach",1.0,5,Selective public,2863.666666666667,48800,85800,0.64032125
"California State University, Los Angeles",1.0,5,Selective public,1179.666666666667,43000,36600,0.62447017
"California State University, Monterey Bay",1.0,5,Selective public,322.6666666666667,41100,93200,0.58884299
"California State University, Northridge",1.0,5,Selective public,2348.666666666667,44100,61100,0.58629012
"California State University, San Bernardino",1.0,5,Selective public,1151.666666666667,43500,69800,0.64688855
"California State University, San Marcos",1.0,5,Selective public,427.66666666666674,44400,93600,0.61340606
"California State University, Stanislaus",1.0,5,Selective public,603.0,44800,72300,0.66887784
Carrington College California,3.0,11,Two-year for-profit,434.5,25000,47900,0.91599542
Center For Employment Training,2.0,12,Less than two-year schools of any type,290.0,16300,29300,0.55517244
Cerritos Community College,1.0,9,Two-year (public and private not-for-profit),3216.0,30200,45500,0.52829599
Chabot-Las Positas Community College District,1.0,9,Two-year (public and private not-for-profit),2381.666666666667,35200,84000,0.49657103
Chaffey Community College,1.0,9,Two-year (public and private not-for-profit),2802.666666666667,27700,66300,0.53472883
Chapman University,2.0,4,Highly selective private,603.0,47900,109600,0.57103372
Citrus Community College,1.0,9,Two-year (public and private not-for-profit),2030.666666666667,28100,66500,0.5257715000000001
Claremont Mckenna College,2.0,2,Other elite schools (public and private),266.0,69900,142000,0.46992481
Coast Community College District,1.0,9,Two-year (public and private not-for-profit),5334.666666666667,30600,72800,0.48081729
College Of Marin,1.0,9,Two-year (public and private not-for-profit),580.6666666666666,29700,82000,0.44603902
College Of The Canyons,1.0,9,Two-year (public and private not-for-profit),1868.666666666667,32500,88200,0.47413486
College Of The Desert,1.0,9,Two-year (public and private not-for-profit),1342.666666666667,28400,44900,0.50893742
College Of The Redwoods,1.0,9,Two-year (public and private not-for-profit),1064.666666666667,20300,59900,0.50093925
College Of The Sequoias,1.0,9,Two-year (public and private not-for-profit),1764.666666666667,27500,51500,0.50623345
College Of The Siskiyous,1.0,9,Two-year (public and private not-for-profit),345.0,27900,57500,0.39806762
"Concordia University of Irvine, CA",2.0,6,Selective private,201.0,39600,94000,0.66500831
Contra Costa Community College District,1.0,9,Two-year (public and private not-for-profit),4957.666666666667,32900,85400,0.48887244
Copper Mountain College,1.0,9,Two-year (public and private not-for-profit),327.0,27100,50100,0.47808358
Crimson Technical College,3.0,11,Two-year for-profit,156.0,37600,44700,0.073717952
Cuesta College,1.0,9,Two-year (public and private not-for-profit),1881.333333333333,31000,79900,0.47643515
Dominican University Of California,2.0,6,Selective private,137.66666666666669,45200,98100,0.76029056
El Camino College,1.0,9,Two-year (public and private not-for-profit),3618.333333333334,28300,51600,0.50492859
Fashion Institute Of Design & Merchandising,3.0,10,Four-year for-profit,932.5,28200,76300,0.9067023999999999
Feather River College,1.0,9,Two-year (public and private not-for-profit),179.0,23400,66000,0.46554935
Foothill-Deanza Community College District,1.0,9,Two-year (public and private not-for-profit),4000.666666666667,33900,80200,0.46625564
Fresno Pacific University,2.0,6,Selective private,160.66666666666669,37900,71100,0.69294608
Gavilan College,1.0,9,Two-year (public and private not-for-profit),588.6666666666666,29800,80500,0.51245755
Glendale Career College,3.0,12,Less than two-year schools of any type,172.0,17900,33200,0.76550388
Glendale Community College,1.0,9,Two-year (public and private not-for-profit),1437.0,30500,40100,0.50336349
Grossmont-Cuyamaca Community College District,1.0,9,Two-year (public and private not-for-profit),3461.0,31700,77400,0.5098719
Hartnell Community College,1.0,9,Two-year (public and private not-for-profit),1280.0,30500,51800,0.49192709
Harvey Mudd College,2.0,2,Other elite schools (public and private),164.0,82400,139800,0.3211382
Heald College,3.0,11,Two-year for-profit,2428.333333333334,33600,52400,0.49498969
Humboldt State University,1.0,5,Selective public,736.6666666666665,35500,96000,0.579638
Imperial Valley College,1.0,9,Two-year (public and private not-for-profit),885.6666666666665,25800,34300,0.53970641
International Career Development Center,3.0,11,Two-year for-profit,215.0,16700,29500,0.73023254
Irvine Valley College,1.0,9,Two-year (public and private not-for-profit),708.3333333333335,30900,81200,0.47858822
Kern & North Orange County Community College Districts,1.0,9,Two-year (public and private not-for-profit),8556.333333333334,30000,63600,0.51299232
La Sierra University,2.0,6,Selective private,205.0,43200,81300,0.57398373
Lake Tahoe Community College,1.0,9,Two-year (public and private not-for-profit),340.6666666666667,22100,64600,0.49412915
Las Positas College,1.0,9,Two-year (public and private not-for-profit),988.5,37300,109500,0.48254931
Lassen College,1.0,9,Two-year (public and private not-for-profit),292.0,23300,64200,0.43493152
"Le Cordon Bleu College Of Culinary Arts of Pasadena, CA",3.0,11,Two-year for-profit,131.66666666666669,27600,64800,0.37468356
Long Beach City College,1.0,9,Two-year (public and private not-for-profit),3148.666666666667,28100,49900,0.51969087
Los Angeles Community College District,1.0,9,Two-year (public and private not-for-profit),8129.333333333332,28400,41400,0.53005576
Los Rios Community College District,1.0,9,Two-year (public and private not-for-profit),5873.333333333332,31200,71900,0.52304202
Loyola Marymount University,2.0,6,Selective private,1016.0,56200,131800,0.585958
MTI College,3.0,11,Two-year for-profit,98.0,32300,48400,0.62244898
"Marinello School Of Beauty, Xenon International Academy, International School Of Skin And Nailcare And Hair Professionals Academy",3.0,12,Less than two-year schools of any type,591.3333333333334,11400,44200,0.94475758
